name;abbr;numInstitutions
Alaska;AK;35
Alabama;AL;129
Arkansas;AR;108
American Samoa;AS;1
Arizona;AZ;155
California;CA;1246
Colorado;CO;171
Connecticut;CT;114
District of Columbia;DC;33
Delaware;DE;23
Florida;FL;439
Federated States of Micronesia;FM;4
Georgia;GA;210
Guam;GU;2
Hawaii;HI;43
Iowa;IA;107
Idaho;ID;33
Illinois;IL;391
Indiana;IN;175
Kansas;KS;99
Kentucky;KY;165
Louisiana;LA;173
Massachusetts;MA;261
Maryland;MD;148
Maine;ME;60
Marshall Islands;MH;2
Michigan;MI;302
Minnesota;MN;169
Missouri;MO;242
Northern Mariana Islands;MP;1
Mississippi;MS;69
Montana;MT;54
North Carolina;NC;188
North Dakota;ND;30
Nebraska;NE;68
New Hampshire;NH;43
New Jersey;NJ;207
New Mexico;NM;61
Nevada;NV;77
New York;NY;632
Ohio;OH;386
Oklahoma;OK;158
Oregon;OR;125
Pennsylvania;PA;544
Puerto Rico;PR;161
Palau;PW;1
Rhode Island;RI;37
South Carolina;SC;97
South Dakota;SD;33
Tennessee;TN;191
Texas;TX;506
Utah;UT;60
Virginia;VA;222
Virgin Islands;VI;2
Vermont;VT;32
Washington;WA;164
Wisconsin;WI;132
West Virginia;WV;99
Wyoming;WY;17